2021-08-18 17:02:29,417; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:29,418; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 84
2021-08-18 17:02:29,541; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 8.11E-01
2021-08-18 17:02:34,097; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:34,098; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 83
2021-08-18 17:02:34,213; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E+00
2021-08-18 17:02:38,619; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:38,619; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 82
2021-08-18 17:02:38,741; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 17:02:43,169; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:43,170; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 81
2021-08-18 17:02:43,286; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.00E+00
2021-08-18 17:02:47,882; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:47,883; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 80
2021-08-18 17:02:48,001; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 17:02:52,480; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:52,481; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 79
2021-08-18 17:02:52,581; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 5.34E-04
2021-08-18 17:02:57,127; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 17:02:57,128; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 78
2021-08-18 17:02:57,247; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.85E-02
